000298	L	Broadframe Corporation
000299	L	Apex, Inc.
00029A	L	Storage Apps
00029B	L	Kreatel Communications AB
00029C	L	3COM
00029D	L	Merix Corp.
00029E	L	Information Equipment Co., Ltd.
00029F	L	L-3 Communication Aviation Recorders
0002A0	L	Flatstack Ltd.
0002A1	L	World Wide Packets
0002A2	L	Hilscher GmbH
0002A3	L	Hitachi Energy Switzerland Ltd
0002A4	L	AddPac Technology Co., Ltd.
0002A5	L	Hewlett Packard
0002A6	L	Effinet Systems Co., Ltd.
0002A7	L	Vivace Networks
0002A8	L	Air Link Technology
0002A9	L	RACOM, s.r.o.
0002AA	L	PLcom Co., Ltd.
0002AB	L	CTC Union Technologies Co., Ltd.
0002AC	L	3PAR data
0002AD	L	HOYA Corporation
0002AE	L	Scannex Electronics Ltd.
0002AF	L	TeleCruz Technology, Inc.
0002B0	L	Hokubu Communication & Industrial Co., Ltd.
0002B1	L	Anritsu, Ltd.
0002B2	L	Cablevision
0002B3	L	Intel Corporation
0002B4	L	DAPHNE
0002B5	L	Avnet, Inc.
0002B6	L	Acrosser Technology Co., Ltd.
0002B7	L	Watanabe Electric Industry Co., Ltd.
0002B8	L	WHI KONSULT AB
0002B9	L	Cisco Systems, Inc
0002BA	L	Cisco Systems, Inc
0002BB	L	Continuous Computing Corp
0002BC	L	LVL 7 Systems, Inc.
0002BD	L	Bionet Co., Ltd.
0002BE	L	Totsu Engineering, Inc.
0002BF	L	dotRocket, Inc.
0002C0	L	Bencent Tzeng Industry Co., Ltd.
0002C1	L	Innovative Electronic Designs, Inc.
0002C2	L	Net Vision Telecom
0002C3	L	Arelnet Ltd.
0002C4	L	OPT Machine Vision Tech Co., Ltd
0002C5	L	Evertz Microsystems Ltd.
0002C6	L	Data Track Technology PLC
0002C7	L	ALPSALPINE CO,.LTD
0002C8	L	Technocom Communications Technology (pte) Ltd
0002C9	L	Mellanox Technologies, Inc.
0002CA	L	EndPoints, Inc.
0002CB	L	TriState Ltd.
0002CC	L	M.C.C.I
0002CD	L	TeleDream, Inc.
0002CE	L	FoxJet, Inc.
0002CF	L	ZyGate Communications, Inc.
0002D0	L	Comdial Corporation
0002D1	L	Vivotek, Inc.
0002D2	L	Workstation AG
0002D3	L	NetBotz, Inc.
0002D4	L	PDA Peripherals, Inc.
0002D5	L	ACR
0002D6	L	NICE Systems
0002D7	L	EMPEG Ltd
0002D8	L	BRECIS Communications Corporation
0002D9	L	Reliable Controls
0002DA	L	ExiO Communications, Inc.
0002DB	L	NETSEC
0002DC	L	GENERAL Inc.
0002DD	L	Bromax Communications, Ltd.
0002DE	L	Astrodesign, Inc.
0002DF	L	Net Com Systems, Inc.
0002E0	L	ETAS GmbH
